Date,C_cover_A,D_snow,EPC0_A_kgmm,EPC0_A_mgl,EPC0_NC_kgmm,P_labile_A_kg,P_labile_NC_kg,Plabile_A_mgkg,Qg,Qq,QsA,QsS,TDPs_A_kg,TDPs_A_mgl,TDPs_NC_kgmm,Vg,VsA,VsS,conc_TDPs_A_kgmm,conc_TDPs_NC_kgmm
2004-03-27,0.2,0.0,5.190614669931554,0.10039873636231245,-0.010958075078417121,2884821.881457039,-6160.756127845238,587.3606599729286,1.0831640677007508,0.0336,0.711014787084396,1.4110638027091453,1515.3537156028383,0.10040353161930404,-3.3712127337261872,70.4056644005488,291.92714907616,304.11063802709145,5.190862584718019,-0.01108548111173232
2004-03-28,0.2,0.0,5.190862584718019,0.10040353161930404,-0.01108548111173232,2884963.1759479363,-6231.5646182746095,587.3894280663618,1.0751702178994202,0.004,0.06329663983185924,1.1934947308020867,1509.340052327285,0.10040844924211313,-3.3855638950342266,69.88606416346232,290.75439890329693,301.93494730802087,5.191116825817249,-0.01121289180076403
2004-03-29,0.2,0.0,5.191116825817249,0.10040844924211313,-0.01121289180076403,2885104.819783552,-6302.375445184756,587.4182672877027,1.06460652638927,0.0,-0.0,0.9780068892651741,1503.80458222158,0.10041337902353893,-3.3995979219880215,69.19942421530254,289.67384160147856,299.78006889265174,5.191371695516963,-0.011340306693989666
2004-03-30,0.2,0.0,5.191371695516962,0.10041337902353892,-0.011340306693989664,2885246.463619169,-6373.188385003852,587.4471065090439,1.0530582307781973,0.0,-0.0,0.7828918829350868,1498.328297943881,0.10041830880496475,-3.415420254073727,68.44878500058282,288.60479064162945,297.82891882935087,5.191626565216677,-0.01146772538912074
2004-03-31,0.2,0.0,5.191626565216678,0.10041830880496476,-0.011467725389120742,2885388.1074547847,-6444.00327203635,587.4759457303848,1.0406952186210494,0.0,-0.0,0.6063550005684192,1492.8524422904434,0.10042323858639056,-3.432900557745977,67.64518921036822,287.53592719793755,296.0635500056842,5.191881434916392,-0.011595147588009629
2004-04-01,0.2,0.0,5.191881434916391,0.10042323858639055,-0.011595147588009625,2885511.611250381,-6514.804527174586,587.5010915708808,1.0372717092547175,0.24120000000000003,3.252574622713837,1.5214436518826857,1539.4854717826518,0.10042753702066337,-3.5778900455094793,67.42266110155663,296.5051492454277,305.21443651882686,5.192103663968297,-0.011722545258073926
2004-04-02,0.2,0.0,5.192103663968297,0.10042753702066337,-0.01172254525807393,2885617.1307228524,-6585.593384859597,587.5225757350814,1.0594823408473415,0.27640000000000003,6.680903726893206,2.513502503753159,1575.1435508694442,0.10043120952736434,-3.7343250314435115,68.8663521550772,303.3618074537864,315.1350250375316,5.192293532564737,-0.011849920620530089
2004-04-03,0.2,0.0,5.192293532564737,0.10043120952736434,-0.011849920620530089,2885731.954922789,-6656.384052188206,587.5459543770312,1.0878588222691012,0.086,5.079071726001871,2.5231424273294634,1558.571203040478,0.10043520587641558,-3.775621098122056,70.71082344749158,300.15814345200374,315.23142427329464,5.192500143810686,-0.011977299239205048
2004-04-04,0.2,0.0,5.192500143810686,0.10043520587641558,-0.011977299239205048,2885860.554589566,-6727.1799574780425,587.5721377561979,1.1034720113887995,0.0032,2.50880523902012,2.14576244517105,1531.9472514401184,0.10043968166772613,-3.770097145866433,71.72568074027197,295.01761047804024,311.4576244517105,5.192731542221441,-0.012104687282911458
2004-04-05,0.2,0.0,5.192731542221441,0.10043968166772613,-0.012104687282911458,2885994.073155478,-6797.97768703223,587.5993226418565,1.1081539272420775,0.0332,1.5314666361072398,1.944244292594425,1521.8675456323354,0.1004443286567276,-3.785124286875958,72.03000527073503,293.0629332722145,309.44244292594425,5.192971791552817,-0.012232078609144815
2004-04-06,0.2,0.0,5.192971791552817,0.1004443286567276,-0.012232078609144813,2886122.3041594215,-6868.771874436636,587.625430959874,1.113011667258214,0.1124,2.47036691585177,2.1312575564976557,1531.686964132842,0.10044879161707249,-3.8476564340065504,72.34575837178392,294.94073383170354,311.31257556497656,5.193202526602648,-0.012359463561739333
2004-04-07,0.2,0.0,5.193202526602648,0.10044879161707249,-0.012359463561739335,2886254.63293337,-6939.568387147518,587.652373599383,1.1181537242361927,0.045599999999999995,1.7480205153109694,1.988947691946231,1524.254265717022,0.10045339719647572,-3.8695442510840863,72.67999207535253,293.49604103062194,309.8894769194623,5.1934406350577955,-0.012486852698421085
