Date,Msus,PP_mgl,PPr,Qr,SS_mgl,Sim_Q_cumecs,TDP_mgl,TDPr,TP_mgl,Vr
2004-02-26,1183.03624236,0.0439019298261,2.60122945191,1.14605248783,19.9665485318,0.685774463203,0.022828879592,1.35263197276,0.066730809418,0.244463567259
2004-02-27,1034.16753271,0.0411237318349,2.27666520498,1.07081909887,18.6803172441,0.640756335784,0.0194938636965,1.0792065605,0.0606175955314,0.237401397113
2004-02-28,958.416828163,0.0398739113532,2.11220342608,1.02460473988,18.0928726721,0.613102604769,0.0183111680935,0.969980387427,0.0581850794467,0.232200333954
2004-02-29,906.96142995,0.0391536359187,2.00106974815,0.988552150555,17.7459269739,0.591529469719,0.0178999151036,0.914831477791,0.0570535510223,0.22785791815
2004-03-01,839.725346611,0.037477650423,1.85171932948,0.95567947979,16.9955200502,0.571859133161,0.0179721062472,0.887977131807,0.0554497566702,0.22351734999
2004-03-02,777.836115411,0.0356281065683,1.71338936704,0.930192388872,16.1742733705,0.556608177138,0.0189029637634,0.909061419127,0.0545310703317,0.220978368102
2004-03-03,798.467423922,0.0352809461436,1.75682837967,0.96316029711,16.0349676194,0.576335501859,0.0204408288416,1.01785899014,0.0557217749852,0.227457088854
2004-03-04,1431.79952461,0.0441599436839,3.14623021942,1.37807052591,20.0964907091,0.824609330899,0.0353750487516,2.52033943232,0.0795349924354,0.321697580926
2004-03-05,3865.83894667,0.0732374625027,8.48404398486,2.24067608891,33.3713775415,1.3407749282,0.0537762143501,6.22959551431,0.127013676853,0.39749755529
2004-03-06,7295.02778541,0.100966636367,15.9891716878,3.06307432143,46.0658270532,1.83288127799,0.0594905754125,9.4209835873,0.160457211779,0.467724255299
2004-03-07,9620.5335427,0.117334544614,21.0585223366,3.47145434924,53.6039948165,2.07724756777,0.0595520765452,10.6880606922,0.176886621159,0.474601495816
2004-03-08,7232.66751447,0.105288718543,15.810454559,2.9045039621,48.1654902083,1.7379960051,0.0522012434031,7.83868773563,0.157489961946,0.38882878534
2004-03-09,3825.23938935,0.0758067573168,8.34998445813,2.13052779412,34.728087881,1.27486443236,0.0365761519369,4.02880047929,0.112382909254,0.33080270244
2004-03-10,2554.81608805,0.0594002621416,5.56842845975,1.81323352334,27.2530654655,1.08500200413,0.0259280573652,2.43060429925,0.0853283195067,0.320391865542
2004-03-11,2325.91686674,0.055289232904,5.0612459528,1.77062395246,25.4083995443,1.05950530489,0.0248933031957,2.27876429883,0.0801825360997,0.320485775863
2004-03-12,2062.11844594,0.0520943179909,4.47980324424,1.66332854294,23.9797705839,0.995301917479,0.0228356138198,1.96372773115,0.0749299318108,0.301014577046
2004-03-13,1638.81462647,0.0459008001419,3.55410326276,1.4976807321,21.1650864023,0.896181641778,0.0178744488252,1.38402025005,0.0637752489671,0.28432557901
2004-03-14,1474.4679645,0.0421761525459,3.19166080353,1.46372411404,19.4843342143,0.87586269324,0.0172557746026,1.30582274838,0.0594319271486,0.28935259155
2004-03-15,1355.36712151,0.0404421596644,2.92828398478,1.40051675791,18.7188038513,0.83804069889,0.0173541403302,1.25655631698,0.0577962999946,0.27442721987
2004-03-16,1159.66968702,0.0367291187343,2.50042686975,1.31677964935,17.0345496374,0.787934118883,0.0156552815022,1.0657725497,0.0523844002366,0.267522902399
2004-03-17,1042.15480012,0.0341951584124,2.242096086,1.26823302312,15.8943448958,0.75888480666,0.0158129823233,1.03682004767,0.0500081407358,0.26277255263
2004-03-18,987.384268604,0.032631662777,2.11956595845,1.25636893223,15.2012209651,0.751785576346,0.0168014218559,1.0913241554,0.049433084633,0.262264276365
2004-03-19,1133.29367434,0.0333943107968,2.42663701274,1.40553540428,15.5958888727,0.841043754647,0.0224122705675,1.62861409626,0.0558065813643,0.30335949692
2004-03-20,1656.17960439,0.040052134789,3.53699141676,1.70811770307,18.75422384,1.02210283853,0.0347442025382,3.06824959037,0.0747963373272,0.321940775845
2004-03-21,1509.26993642,0.039485177411,3.2151650751,1.57499303975,18.5352197504,0.942443751796,0.0323589315502,2.63489525461,0.0718441089612,0.283437766355
2004-03-22,1161.42259348,0.0331755161263,2.46692683368,1.43829522219,15.6189447752,0.860646562349,0.0260332067049,1.93582568369,0.0592087228312,0.285533089877
2004-03-23,1517.09881778,0.0358485877674,3.21196502867,1.73303851046,16.9322672058,1.03701494202,0.0345236052858,3.09324912773,0.0703721930532,0.338654001951
2004-03-24,1785.59100746,0.0398615311313,3.7684391937,1.82859274542,18.8874990078,1.09419264975,0.038660850975,3.65492899899,0.0785223821063,0.318121077102
2004-03-25,1610.70506165,0.0366912597362,3.38746082047,1.78575187552,17.4463413475,1.06855754588,0.0358672064368,3.31138144118,0.072558466173,0.324146599642
2004-03-26,1283.33354358,0.033377734865,2.68933033259,1.5584638993,15.9276702612,0.932553050857,0.0299853805591,2.41599958169,0.0633631154241,0.279133592656
